region,latitude,longitude,rainfall,sst,wind_speed,pressure,sst_above_threshold,sst_danger_zone,pressure_anomaly,low_pressure_flag,high_wind_flag,rainfall_intensity,heavy_rainfall_flag,risk_score,risk_level,cyclone_probability,distance_from_equator,bay_of_bengel_flag,arabian_sea_flag,sst_norm,wind_norm,pressure_norm,rainfall_norm
Andhra Pradesh,18.5,80.5,0.43268752,28.62800407409668,0.9132512807846068,1012.826904296875,1,1,-0.1596867487980944,0,0,2,0,3,Moderate,0.3,18.5,1,0,0.6425372034270597,0.11359740340925212,0.6013030522919207,0.5082207707720762
Andhra Pradesh,18.5,81.0,0.42358336,28.62800407409668,1.2352828979492188,1013.2017822265624,1,1,0.2151911808892919,0,0,2,0,3,Moderate,0.3,18.5,1,0,0.6425372034270597,0.1662010479195461,0.6961294406447043,0.4973564383899885
Andhra Pradesh,18.5,81.5,0.43875003,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,18.5,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.5154553892003255
Andhra Pradesh,18.5,82.0,0.43433335,28.62800407409668,1.4575294256210327,1012.96923828125,1,1,-0.017352764423094413,0,0,2,0,3,Moderate,0.3,18.5,1,0,0.6425372034270597,0.2025048662782238,0.6373068194099211,0.5101848008599054
Andhra Pradesh,19.0,79.0,0.46986115,28.62800407409668,1.887906789779663,1012.724365234375,1,1,-0.2622258112980944,0,0,2,0,3,Moderate,0.3,19.0,0,0,0.6425372034270597,0.2728067144905545,0.5753655185190903,0.5525814445924776
Andhra Pradesh,19.0,79.5,0.46037504,28.62800407409668,1.2962243556976318,1012.7945556640624,1,1,-0.1920353816107081,0,0,2,0,3,Moderate,0.3,19.0,0,0,0.6425372034270597,0.17615579338075946,0.593120377946892,0.5412613170844982
Andhra Pradesh,19.0,80.0,0.45891666,28.62800407409668,0.8776687979698181,1012.7647094726562,1,1,-0.2218815730168444,0,0,2,0,3,Moderate,0.3,19.0,0,0,0.6425372034270597,0.10778502916704844,0.5855707029380433,0.5395209780461477
Andhra Pradesh,19.0,80.5,0.4577917,28.62800407409668,1.002678155899048,1012.8318481445312,1,1,-0.1547429011418444,0,0,2,0,3,Moderate,0.3,19.0,1,0,0.6425372034270597,0.12820522232344866,0.6025536119559679,0.5381785214816154
Andhra Pradesh,19.0,81.0,0.46044445,28.62800407409668,1.8577548265457156,1013.2672119140624,1,1,0.2806208683892919,0,0,2,0,3,Moderate,0.3,19.0,1,0,0.6425372034270597,0.2678814119093633,0.7126800574330817,0.5413441466163431
Andhra Pradesh,19.0,81.5,0.4371667,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,19.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.5135659426846084
Andhra Pradesh,19.0,82.0,0.40363893,28.62800407409668,2.080283164978028,1013.5747680664062,1,1,0.5881770207331556,0,0,2,0,3,Moderate,0.3,19.0,1,0,0.6425372034270597,0.30423126386311145,0.7904772197434037,0.47355600905973927
Gujarat,20.0,68.0,0.19619446,27.6016845703125,3.495902299880981,1013.93310546875,1,0,0.391652753276162,0,0,1,0,2,Low,0.2,20.0,0,1,0.3807610034039999,0.5354716817763,0.8811196368745272,0.22600481565957728
Gujarat,20.0,68.5,0.17941667,26.994644165039062,2.310753705040101,1013.5414527154738,1,0,0.0,0,0,1,0,2,Low,0.2,20.0,0,1,0.2259274160396162,0.34187846902347796,0.7820500114298584,0.20598325549401925
Gujarat,20.0,69.0,0.15802778,26.994644165039062,3.621760845184326,1013.736083984375,1,0,0.194631268901162,0,0,1,0,2,Low,0.2,20.0,0,1,0.2259274160396162,0.5560305891097239,0.8312825184110173,0.1804590983786004
Gujarat,20.0,69.5,0.18300001,26.994644165039062,3.609419107437134,1013.5415649414062,1,0,0.0001122259324120023,0,0,1,0,2,Low,0.2,20.0,0,1,0.2259274160396162,0.5540145746860199,0.78207839928363,0.2102593882506964
