region,latitude,longitude,rainfall,sst,wind_speed,pressure,data_period
Gujarat,22.0,70.5,0.27675,,1.8517578840255737,1013.1506958007812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.0,71.0,0.28175002,,1.7033536434173584,1012.9500122070312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.0,71.5,0.28829166,,,,{'rainfall': '2025-09'}
Gujarat,22.0,72.0,0.32547224,,1.4730480909347534,1012.819091796875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,68.0,0.083875,,3.2139759063720703,1014.3435668945312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,68.5,0.0735625,,,,{'rainfall': '2025-09'}
Gujarat,22.5,69.0,0.116458334,,2.7991998195648193,1014.158203125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,69.5,0.1658125,,2.416821002960205,1013.845458984375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,70.0,0.28520834,,2.169116735458374,1013.5853881835938,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,70.5,0.32337502,,1.9252636432647705,1013.3448486328125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,71.0,0.29175,,1.8168784379959106,1013.1434936523438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.5,71.5,0.24556251,,,,{'rainfall': '2025-09'}
Gujarat,22.5,72.0,0.3369167,,1.5520402193069458,1012.957275390625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,68.0,0.1466389,,2.809103012084961,1014.3870239257812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,68.5,0.13833334,,,,{'rainfall': '2025-09'}
Gujarat,23.0,69.0,0.18597223,,2.169002056121826,1014.06201171875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,69.5,0.26400003,,1.6626735925674438,1013.8988037109375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,70.0,0.37733334,,1.780963659286499,1013.6668701171875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,70.5,0.416375,,1.866973876953125,1013.4595336914062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,71.0,0.38286114,,1.7888407707214355,1013.2957153320312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.0,71.5,0.29641667,,,,{'rainfall': '2025-09'}
Gujarat,23.0,72.0,0.2671389,,1.507699728012085,1013.1084594726562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,68.0,0.27070835,,2.0549421310424805,1014.403076171875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,68.5,0.25306252,,,,{'rainfall': '2025-09'}
Gujarat,23.5,69.0,0.26120836,,1.581557035446167,1014.1220092773438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,69.5,0.31543753,,1.3980982303619385,1013.86572265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,70.0,0.4206667,,1.59614896774292,1013.7100830078125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,70.5,0.46256253,,1.8222203254699707,1013.5753173828125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,71.0,0.44620836,,1.7595584392547607,1013.4148559570312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,23.5,71.5,0.34462503,,,,{'rainfall': '2025-09'}
Gujarat,23.5,72.0,0.25262502,,1.3804748058319092,1013.2337646484375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,68.0,0.26030555,26.10887336730957,1.5709044933319092,1014.1966552734375,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,68.5,0.27475002,,,,{'rainfall': '2025-09'}
Gujarat,24.0,69.0,0.27105558,,1.309269666671753,1013.99365234375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,69.5,0.27433333,,1.2482028007507324,1013.9505615234375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,70.0,0.40783337,,1.5024173259735107,1013.8406372070312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,70.5,0.4630417,,1.7418766021728516,1013.7092895507812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,71.0,0.44391668,,1.7238969802856445,1013.5610961914062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,24.0,71.5,0.32433334,,,,{'rainfall': '2025-09'}
Gujarat,24.0,72.0,0.23402779,,1.335890293121338,1013.3509521484375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.0,75.0,0.15477778,,0.9263420701026917,1011.029296875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.0,75.5,0.141625,,1.0142431259155273,1011.0050659179688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.0,76.0,0.15830557,29.91383171081543,1.5034507513046265,1011.010009765625,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.0,76.5,0.194875,,,,{'rainfall': '2025-09'}
Kerala,8.0,77.0,0.16011113,,2.912754535675049,1010.9681396484375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.5,75.0,0.11720834,,0.8450407385826111,1011.0211181640625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.5,75.5,0.17031251,,0.5506748557090759,1010.9500122070312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.5,76.0,0.24091667,,0.5559521913528442,1010.9827880859375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Kerala,8.5,76.5,0.21793751,,,,{'rainfall': '2025-09'}
Kerala,8.5,77.0,0.22875,,1.5560015439987183,1010.4497680664062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
